Id,Nombre,Entidad,Latitud,Longitud,Precio,Calificacion,Estadia,Comentarios
1,Amatique Bay Hotel,Hospedaje,15.7460514,-88.5788225,886.95,4.5,2
2,Hotel y Restaurante Happy Fish,Hospedaje,15.8182923,-88.7537098,616.31,4.1,3
3,Restaurante Raíces del Lago,Turistico,16.9358788,-89.8950038,192.6,4.7,1
4,Restaurante San Telmo,Turistico,16.9310226,-89.892456,154.08,3.8,1
5,Restaurante Cafetos Santa Cruz Muluá,Turistico,14.5949292,-91.6167565,115.56,0,2 
6,Katok,Turistico,16.8990314,-89.7882066,231.12,4.4,2
7,Zafra Hotel,Hospedaje,14.594677,-91.6171005,693.35,4.1,1 
8,Hotel y Restaurante El Arco,Hospedaje,14.5947787,-91.6165139,654.83,4.5,3 
9,Hotel y Restaurante Las Gardenias,Hospedaje,16.993203,-89.691478,729.87,4.2,5 
10,Maxim's Mazatenango Restaurant,Turistico,14.5325431,-91.5020023,192.6,4.4,5
11,Posada Belén Museo Inn,Hospedaje,14.634546,-90.50981,516.16,4,3
12,Hotel Vista Real Guatemala,Hospedaje,14.572223,-90.484908,901.36,4.5,1 
13,Real InterContinental Guatemala,Hospedaje,14.640808,-90.505012,309.66,4.6,2 
14,La Inmaculada Hotel,Hospedaje,14.597172,-90.509026,616.31,4.3,5
15,Barceló Guatemala City,Hospedaje,14.597035,-90.519088,962.96,4.4,2
16,Grand Tikal Futura Hotel,Hospedaje,14.622683,-90.553866,832.02,4.2,3 
17,Adriatika Hotel Boutique,Hospedaje,14.575271,-90.522956,731.87,4.3,2
18,Clarion Suites Guatemala City,Hospedaje,14.597589,-90.513402,755.78,4.4,5 
19,Mercure Casa Veranda Guatemala,Hospedaje,14.600843,-90.515023,693.35,4.2,5 
20,Radisson Hotel Guatemala City,Hospedaje,14.638621,-90.4852,962.96,4.5,5
21,La Lancha,Hospedaje,16.9333,-89.8833,831.42,4.7,5
22,Las Lagunas Boutique Hotel,Hospedaje,16.9333,-89.8833,1796.01,4.8,5
23,Meson Panza Verde,Hospedaje,14.5566,-90.7333,624.02,4.6,5
24,San Rafael Hotel,Hospedaje,14.5566,-90.7333,778.10,4.7,5
25,Posada del Angel,Hospedaje,14.5566,-90.7333,978.40,4.8,5
